Running brilcalc
brilcalc lumi -b STABLE BEAMS --normtag /cms/ldap_home/jhgoh/.lumiCalc/Normtags/normtag_PHYSICS.json -i ../LumiJSON/Cert_271036-284044_13TeV_23Sep2016ReReco_Collisions16_JSON_MuonPhys.txt -u /pb -c /cvmfs/cms.cern.ch/SITECONF/local/JobConfig/site-local-config.xml
#Data tag : 19v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 276583:5085 | 07/10/16 20:34:28 | 52   | 52   | 8.259542148    | 7.839875548   |
| 276584:5085 | 07/10/16 20:59:17 | 2    | 2    | 0.316019743    | 0.172727362   |
| 276585:5085 | 07/10/16 21:31:21 | 242  | 242  | 36.414536185   | 34.895920922  |
| 276586:5085 | 07/10/16 23:10:31 | 751  | 751  | 100.186864918  | 96.896976498  |
| 276587:5085 | 07/11/16 04:23:51 | 1006 | 1006 | 111.612892400  | 107.617825309 |
| 276653:5091 | 07/12/16 00:13:18 | 479  | 479  | 89.363901242   | 86.119512856  |
| 276655:5091 | 07/12/16 03:27:37 | 1106 | 1106 | 171.372797392  | 160.926116845 |
| 276659:5091 | 07/12/16 10:40:23 | 252  | 252  | 32.850004323   | 30.037585803  |
| 276775:5093 | 07/12/16 21:26:20 | 1165 | 1165 | 218.523082696  | 207.359208629 |
| 276776:5093 | 07/13/16 05:02:29 | 1823 | 1823 | 244.651860666  | 236.342423443 |
| 276794:5093 | 07/13/16 17:05:19 | 885  | 885  | 89.485543392   | 87.205680835  |
| 276807:5095 | 07/14/16 03:24:10 | 155  | 155  | 32.275189675   | 30.442600532  |
| 276808:5095 | 07/14/16 04:28:59 | 875  | 875  | 164.172640099  | 157.858192006 |
| 276810:5095 | 07/14/16 10:15:44 | 287  | 287  | 46.702982157   | 44.735085819  |
| 276811:5095 | 07/14/16 12:15:34 | 2562 | 2562 | 311.313073396  | 301.674117328 |
| 276831:5096 | 07/15/16 07:47:46 | 2634 | 2634 | 416.151495473  | 400.297676286 |
| 276832:5096 | 07/16/16 01:12:13 | 67   | 67   | 7.704929194    | 7.473453507   |
| 276834:5096 | 07/16/16 01:42:10 | 719  | 719  | 75.504642122   | 72.599726844  |
| 276870:5097 | 07/16/16 11:02:01 | 3407 | 3407 | 547.107551656  | 527.079042924 |
| 276935:5101 | 07/17/16 23:39:55 | 828  | 828  | 180.299110757  | 170.798551858 |
| 276940:5102 | 07/18/16 08:13:36 | 144  | 144  | 33.938050692   | 28.700846831  |
| 276946:5102 | 07/18/16 09:56:36 | 27   | 27   | 6.168303254    | 4.252741743   |
| 276947:5102 | 07/18/16 10:11:19 | 132  | 132  | 29.311503607   | 24.605931463  |
| 276948:5102 | 07/18/16 11:09:47 | 474  | 474  | 95.546723295   | 85.951571671  |
| 276950:5102 | 07/18/16 14:16:45 | 2353 | 2353 | 337.524553967  | 323.178752578 |
| 277069:5105 | 07/19/16 17:52:15 | 309  | 309  | 79.058743031   | 75.526287052  |
| 277070:5105 | 07/19/16 19:54:11 | 1058 | 1058 | 217.533701692  | 206.495004541 |
| 277071:5105 | 07/20/16 02:48:37 | 171  | 171  | 29.280449084   | 26.353950730  |
| 277072:5105 | 07/20/16 04:01:41 | 466  | 466  | 71.979659117   | 69.470744336  |
| 277073:5105 | 07/20/16 07:09:53 | 90   | 90   | 13.151244726   | 12.749016635  |
| 277076:5105 | 07/20/16 07:55:58 | 1037 | 1037 | 131.531784067  | 126.205887226 |
| 277087:5105 | 07/20/16 17:49:22 | 988  | 988  | 89.426735355   | 86.356665344  |
| 277094:5106 | 07/21/16 04:03:56 | 584  | 584  | 137.105291085  | 131.582224758 |
| 277096:5106 | 07/21/16 07:56:14 | 2085 | 2085 | 333.417141179  | 320.667915270 |
| 277112:5106 | 07/21/16 21:30:44 | 155  | 155  | 17.975842649   | 17.339321164  |
| 277126:5107 | 07/22/16 01:36:48 | 18   | 18   | 4.462245757    | 1.967387093   |
| 277127:5107 | 07/22/16 01:46:10 | 902  | 902  | 191.631333436  | 184.213275631 |
| 277148:5108 | 07/22/16 10:31:04 | 616  | 616  | 133.973678377  | 128.191762294 |
| 277166:5109 | 07/22/16 18:10:23 | 354  | 354  | 74.383408310   | 70.666493873  |
| 277168:5109 | 07/22/16 20:34:53 | 2219 | 2219 | 330.685547386  | 318.998343750 |
| 277180:5110 | 07/23/16 13:37:57 | 141  | 141  | 33.682040855   | 31.250413062  |
| 277194:5111 | 07/23/16 18:25:08 | 1938 | 1938 | 386.460097272  | 367.175186737 |
| 277305:5116 | 07/25/16 01:23:14 | 683  | 683  | 163.032700695  | 154.261732816 |
| 277420:5117 | 07/25/16 19:45:01 | 260  | 260  | 64.428017575   | 60.844211729  |
| 277981:5151 | 08/01/16 11:54:09 | 76   | 76   | 5.011405319    | 4.641662441   |
